Year,Price,Mileage,City,State,VIN
2021,35881,93211.0,Livermore,CA,5YJXCDE21MF322242
2018,17970,81230.0,Scotts Valley,CA,5YJ3E1EB3JF182374
2021,20642,67809.0,Fremont,CA,5YJ3E1EA9MF001967
2023,27064,30337.0,Roseville,CA,7SAYGDEE9PF927748
2018,16734,99398.0,Lodi,CA,5YJ3E1EA0JF181545
2018,18470,92103.0,Scotts Valley,CA,5YJ3E1EB8JF067463
2022,24064,78096.0,Roseville,CA,5YJ3E1EB1NF334142
2023,29500,77793.0,Concord,CA,7SAYGAEE2PF886572
2018,20780,68465.0,El Cerrito,CA,5YJ3E1EBXJF146021
2026,44999,9683.0,Morgan Hill,CA,7SAYGDED5TF456098
2019,19047,82295.0,Roseville,CA,5YJ3E1EA3KF298196
2022,29038,60511.0,Concord,CA,5YJ3E1EC0NF312559
2023,25599,69843.0,Roseville,CA,5YJ3E1EA5PF691754
2023,26945,31148.0,Oakland,CA,5YJ3E1EA0PF712199
2018,22614,36856.0,Santa Rosa,CA,5YJ3E1EA3JF162200
2019,22910,62418.0,Fremont,CA,5YJ3E1EB5KF191949
2018,19995,84377.0,Rocklin,CA,5YJ3E1EB9JF121692
2022,30122,37114.0,San Rafael,CA,7SAYGDEFXNF407760
2022,28543,35635.0,Sacramento,CA,5YJ3E1EB8NF151630
2021,30614,32330.0,Corte Madera,CA,5YJYGDEE1MF157120
